recipe_id,recipe_ingredient
7028086,"['공기밥', '깻잎', '크래미', '청양마요소스', '김밥용김', '참기름', '통깨', '소금 약간만']"
7028085,"['돼지고기다짐육', '감자', '양파', '전분가루', '짜장소스', '공기밥', '계란후라이', '쪽파 넉넉히']"
7028084,"['애호박', '양파', '대파', '참기름', '다진마늘', '소금 약간 (새우젓이 있다면 사용)', '고춧가루 약간']"
7028083,"['닭 가슴살', '무', '다시마', '대파', '통후추', '오이', '소금', '검은깨', '진간장', '식초', '마늘', '와사비']"
7028082,"['실곤약', '양배추', '적양배추', '당근', '양파', '닭가슴살', '고추장', '고춧가루', '올리고당', '식초', '진간장', '매실액', '다진마늘', '깨']"
7028081,"['매생이', '굴', '청양고추', '식용유', '부침가루', '물', '고추장', '진간장', '매실액', '물엿', '참기름', '깨']"
7028080,"['오이', '소금', '설탕', '식초', '다진마늘', '고춧가루', '참기름', '통깨 약간']"
7028079,"['매생이', '스파게티면', '양배추', '양송이', '면수', '후추', '올리브오일', '크러쉬드페퍼', '완숙 토마토', '마늘', '천일염']"
7028078,"['오이지', '대파', '청양고추', '홍고추', '고춧가루', '설탕', '물엿', '다진 마늘', '들기름', '통깨']"
7028077,"['오이', '밥', '김', '단촛물', '설탕', '식초', '맛소금', '쌈장', '참기름 약간', '통깨 약간']"
7028076,"['김밥용김', '햄', '맛살', '단무지', '시금치', '계란', '소금', '참기름 적당히', '깨 적당히']"
7028075,"['소고기', '메추리알', '꽈리고추', '생강', '월계수잎', '대파', '통후추', '물', '육수', '흑설탕', '진간장', '맛술']"
7028074,"['둥근 호박', '건새우', '양파', '대파', '빨강 파프리카 조금 (홍고추)', '식용유', '] 다진 마늘', '새우젓', '물', '참기름', '통깨']"
7028073,"['다진돼지고기', '대파', '양파', '당근', '식용유 넉넉히', '밀가루', '계란', '진간장', '생강가루 약간', '후춧가루 약간']"
7028072,"['토마토', '양파', '바질', '올리브오일', '발사믹 식초', '레몬즙', '올리고당', '소금']"
7028071,"['사각어묵', '무', '대파', '물', '동전 육수', '] 다진 마늘', '액젓', '진간장', '맛술']"
7028070,"['노각', '소금', '물엿', '다진파', '다진마늘', '고추장', '고추가루', '매실청', '식초', '통깨', '참기름']"
7028069,"['차돌박이', '무 약간', '양파', '두부', '애호박', '대파', '집된장 크게', '물', '다진마늘', '고춧가루']"
7028068,"['마늘쫑', '잔멸치', '마늘', '식용유', '굵은소금', '간장', '설탕', '물엿', '참기름', '통깨 약간']"
7028067,"['가자미', '박대', '무 약간', '양파', '대파', '집된장', '간장', '매실액', '술', '고춧가루', '생강청', '다진마늘', '물']"
7028066,"['망고', '우유', '플레인 요거트', '얼음', '알룰로스']"
7028065,"['알타리', '물', '굵은소금', '뉴슈가', '사과', '양파', '홍고추', '설탕', '액젓', '새우젓', '고춧가루', '마늘', '생강청']"
7028064,"['달걀', '설탕', '박력분', '옥수수전분', '우유', '버터', '바닐라에센스']"
7028063,"['찹쌀호떡믹스', '식용유 넉넉히']"
7028062,"['데체코 스파게티', '엑스트라버 올리브오일', '깐마늘', '소금', '아라비아따 파스타소스', '페페론치노', '파슬리 가루']"
7028061,"['우엉', '당근', '다진마늘', '설탕', '간장', '참기름', '참깨']"
7028060,"['박력분', '아몬드가루', '버터', '설탕', '소금', '달걀', '우유', '베이킹파우더', '바닐라익스트랙', '꿀', '초콜릿']"
7028059,"['미숫가루', '메이플시럽', '오트밀크', '그래놀라 약간']"
7028058,"['둥지냉면', '계란', '유부초밥', '오이']"
7028057,"['파스타면', '명란젓', '소금', '올리브오일', '마늘', '양파 조금', '페페론치노 약간', '버섯 약간 (생략 가능)', '계란 노른자', '파르미지아노레지아노치즈']"
7028056,"['뜨거운 물', '레드벨벳파우더', '얼음 적당량', '우유', '에스프레소']"
7028055,"['소고기 등심 부위', '튀김가루', '달걀', '소금 약', '후추 소량 (소고기 밑간용)', '부추', '양파', '간장', '소금', '고춧가루', '식초', '설탕', '다진 마늘', '간장', '식초', '고춧가루', '올리고당 약간', '후추 소량']"
7028054,"['박력분', '실온 무염버터', '실온 달걀', '슈가파우더', '아몬드가루', '소금']"
7028053,"['돼지고기 카레용', '감자', '양파', '당근', '고체카레']"
7028052,"['소면', '열무김치 넉넉하게', '오이', '삶은 달걀', '고추장', '설탕', '매실액', '식초', '열무김치 국물', '고춧가루', '참기름', '깨 조금']"
7028051,"['박력분', '무염버터', '슈가파우더', '아몬드가루', '달걀', '소금', '코코아파우더']"
7028049,"['떡볶이떡', '어묵', '소시지', '삶은계란', '범일 고추장', '케첩', '올리고당', '설탕', '간장', '물']"
7028048,"['망고', '플레인요거트', '꿀', '우유', '얼음 약간 (생략가능)']"
7028047,"['리챔', '깻잎', '공기밥', '치즈', '참기름', '통깨 넉넉히', '소금 약간만']"
7028046,"['닭볶음탕', '김치', '김가루', '공기밥', '통깨', '쇠고기다시다']"
7028045,"['식빵', '계란', '두유', '버터', '메이플시럽 넉넉히', '블루베리 넉넉히', '슈가파우더 적당히', '딜 조금']"
7028044,"['생닭', '생강', '올리고당', '간장', '소금', '설탕', '치킨육수', '페페론치노', '체다치즈', '우유', '버터']"
7028043,"['달걀', '물', '소금', '식초', '버터', '마요네즈', '홀그레인머스터드', '후추']"
7028042,"['냉동새우', '계란', '밀가루', '후추', '맛술', '쪽파', '식용유']"
7028041,"['가자미', '튀김가루', '식용유', '고추장', '다진마늘', '간장', '물엿', '통깨', '쪽파']"
7028040,"['사각어묵', '청양고추', '단무지', '김밥김', '밥', '물', '간장', '설탕', '올리고당', '맛술', '고춧가루', '후추', '참기름', '통깨', '소금', '참기름', '통깨']"
